modelo,cv_macro_f1,cv_desviacion,cv_minimo,cv_maximo,cv_recall_desastre,cv_precision_desastre
"Caracteres (3,5) + LogReg (lema)",0.8010853403319818,0.010066373571940023,0.7833652205388075,0.8129998366424531,0.7603921568627451,0.7789269781833924
"TF-IDF (1,2) + LogReg (lema)",0.7973643806448706,0.01733871238524374,0.7662109375,0.8170532943993927,0.7654901960784313,0.7687733849270459
"TF-IDF (1,3) + LogReg (lema)",0.7955998193296223,0.015912186448291364,0.7680311890838207,0.813922138622891,0.7654901960784313,0.7654552357865974
"TF-IDF (1,2) + ComplementNB (lema)",0.7954592175223614,0.006381029715496403,0.7847074094433075,0.802246834775691,0.7137254901960784,0.8028283063910864
"BOW (1,2) + ComplementNB (stem)",0.792726154839597,0.00975074686815728,0.7820440935050521,0.8097495712581624,0.7133333333333334,0.7969057321851292
"TF-IDF (1,2) + LogReg (stem)",0.792429431126007,0.010620891538888169,0.7778218805683739,0.8055755142369146,0.76,0.7627597817612063
