modelo,representacion,detalle,algoritmo,accuracy,precision_no_desastre,recall_no_desastre,f1_no_desastre,precision_desastre,recall_desastre,f1_desastre,macro_f1,vocabulario
"Solo unigramas (1,1)",TfidfVectorizer,"word (1, 1)",LogisticRegression,0.7922511690046761,0.8037694013303769,0.8440046565774156,0.8233957978421351,0.7747899159663866,0.7225705329153606,0.7477696674776967,0.7855827326599158,4966
"Unigramas + bigramas (1,2)",TfidfVectorizer,"word (1, 2)",LogisticRegression,0.7922511690046761,0.8044444444444444,0.8428405122235157,0.8231949971574758,0.7738693467336684,0.7241379310344828,0.7481781376518218,0.7856865674046488,9308
"Uni + bi + trigramas (1,3)",TfidfVectorizer,"word (1, 3)",LogisticRegression,0.7955911823647295,0.8082497212931996,0.8440046565774156,0.8257403189066059,0.7766666666666666,0.7304075235109718,0.752827140549273,0.7892837297279395,12142
"N-gramas de caracteres (3,5)",TfidfVectorizer,"char_wb (3, 5)",LogisticRegression,0.7822311289245157,0.7899891186071817,0.8451688009313155,0.8166479190101237,0.7698961937716263,0.6974921630094044,0.7319078947368421,0.7742779068734829,25514
"TF-IDF (1,2) + keyword one-hot",TfidfVectorizer + ColumnTransformer,"word (1, 2)",LogisticRegression,0.772879091516366,0.7958950969213227,0.8125727590221188,0.804147465437788,0.7403225806451613,0.719435736677116,0.7297297297297297,0.7669385975837588,9308
