modelo,accuracy,precision_no_desastre,recall_no_desastre,f1_no_desastre,precision_desastre,recall_desastre,f1_desastre,macro_f1,diferencia_macro_f1,diferencia_accuracy
Base (sin sentimiento),0.7922511690046761,0.8044444444444444,0.8428405122235157,0.8231949971574758,0.7738693467336684,0.7241379310344828,0.7481781376518218,0.7856865674046488,0.0,0.0
TF-IDF + negatividad,0.7822311289245157,0.7997750281214848,0.8277066356228172,0.8135011441647597,0.756578947368421,0.7210031347962382,0.7383627608346709,0.7759319524997152,-0.009754614904933567,-0.01002004008016033
TF-IDF + 4 componentes VADER,0.7808951235804943,0.7986501687289089,0.8265424912689173,0.8123569794050344,0.7549342105263158,0.719435736677116,0.7367576243980738,0.7745573019015541,-0.011129265503094676,-0.011356045424181782
