modelo,representacion,algoritmo,texto,accuracy,precision_no_desastre,recall_no_desastre,f1_no_desastre,precision_desastre,recall_desastre,f1_desastre,macro_f1
"TF-IDF (1,2) + LogReg",TfidfVectorizer,LogisticRegression,text_clean,0.7922511690046761,0.8044444444444444,0.8428405122235157,0.8231949971574758,0.7738693467336684,0.7241379310344828,0.7481781376518218,0.7856865674046488
"TF-IDF (1,1) + LogReg",TfidfVectorizer,LogisticRegression,text_clean,0.7922511690046761,0.8037694013303769,0.8440046565774156,0.8233957978421351,0.7747899159663866,0.7225705329153606,0.7477696674776967,0.7855827326599158
"TF-IDF (1,2) + LogReg sobre text_stem",TfidfVectorizer,LogisticRegression,text_stem,0.7895791583166333,0.8002207505518764,0.8440046565774156,0.8215297450424929,0.7732656514382402,0.7163009404388715,0.7436940602115542,0.7826119026270235
"TF-IDF (1,2) + MultinomialNB",TfidfVectorizer,MultinomialNB,text_clean,0.790247160988644,0.7612655800575263,0.9243306169965075,0.8349106203995794,0.8568281938325991,0.609717868338558,0.7124542124542125,0.773682416426896
"BoW (1,2) + LinearSVC",CountVectorizer,LinearSVC,text_clean,0.760187040748163,0.7705627705627706,0.8288707799767171,0.7986539540100953,0.743455497382199,0.6677115987460815,0.70355078447564,0.7511023692428677
Baseline (clase mayoritaria),CountVectorizer,DummyClassifier,text_clean,0.5738142952571811,0.5738142952571811,1.0,0.7292020373514432,0.0,0.0,0.0,0.3646010186757216
